日期,排名,代码,名称,T日价,评分,T+1,T+2,T+3,T+4,T+5
2026-01-27,1,000738,航发控制,26.33,88.5,-2.05%,-3.57%,-7.22%,-10.71%,-1.79%
2026-01-27,2,002119,康强电子,24.71,88.5,+10.00%,+3.44%,+6.31%,+0.16%,+4.13%
2026-01-27,3,002796,世嘉科技,50.39,77.5,-1.17%,-7.72%,-11.49%,-12.58%,-10.04%
2026-01-27,4,603916,苏博特,13.55,67.0,-4.80%,+4.65%,-3.47%,-3.99%,-5.02%
2026-01-28,1,000738,航发控制,25.79,88.5,-1.55%,-5.27%,-8.84%,+0.27%,+6.32%
2026-01-28,2,001376,百通能源,22.29,80.2,+10.00%,+6.46%,-0.94%,-4.49%,-7.13%
2026-01-28,3,002796,世嘉科技,49.8,77.5,-6.63%,-10.44%,-11.55%,-8.98%,-13.86%
2026-01-28,4,603916,苏博特,12.9,67.0,+9.92%,+1.40%,+0.85%,-0.23%,-4.73%
2026-01-29,1,000738,航发控制,25.39,88.5,-3.78%,-7.40%,+1.85%,+8.00%,+10.00%
2026-01-29,2,603001,奥康国际,10.44,84.5,-2.87%,-3.26%,-4.41%,-4.12%,-5.46%
2026-01-29,3,002796,世嘉科技,46.5,77.5,-4.09%,-5.27%,-2.52%,-7.74%,-9.66%
2026-01-30,1,000738,航发控制,24.43,88.5,-3.77%,+5.85%,+12.24%,+14.33%,+8.88%
2026-01-30,2,600330,天通股份,13.56,84.5,+3.24%,+13.57%,+24.93%,+17.99%,+14.31%
2026-01-30,3,603001,奥康国际,10.14,84.5,-0.39%,-1.58%,-1.28%,-2.66%,-3.06%
2026-01-30,4,002796,世嘉科技,44.6,77.5,-1.23%,+1.64%,-3.81%,-5.81%,-5.16%
2026-01-30,5,002830,名雕股份,23.25,76.0,+10.02%,+21.03%,+33.12%,+19.83%,+31.83%
2026-02-02,1,002339,积成电子,11.99,84.5,+1.33%,+2.75%,-3.25%,+6.42%,+8.01%
2026-02-02,2,600330,天通股份,14.0,84.5,+10.00%,+21.00%,+14.29%,+10.71%,+21.79%
2026-02-02,3,603001,奥康国际,10.1,84.5,-1.19%,-0.89%,-2.28%,-2.67%,-3.47%
2026-02-03,1,000534,万泽股份,30.65,92.5,+1.21%,-2.58%,-5.22%,+3.36%,+8.65%
2026-02-03,2,002339,积成电子,12.15,84.5,+1.40%,-4.53%,+5.02%,+6.58%,+4.03%
2026-02-03,3,600330,天通股份,15.4,84.5,+10.00%,+3.90%,+0.65%,+10.71%,+11.56%
2026-02-03,4,603806,福斯特,18.55,78.2,+6.95%,-0.54%,-1.19%,+4.31%,+2.86%
2026-02-03,5,603612,索通发展,29.26,73.5,+4.51%,+4.78%,+8.44%,+4.51%,+3.86%
2026-02-04,1,000534,万泽股份,31.02,92.5,-3.74%,-6.35%,+2.13%,+7.35%,+3.93%
2026-02-04,2,002339,积成电子,12.32,84.5,-5.84%,+3.57%,+5.11%,+2.60%,-0.32%
2026-02-04,3,002623,亚玛顿,28.46,80.2,-5.62%,-1.09%,+8.82%,+9.98%,+14.09%
2026-02-04,4,600550,保变电气,16.28,79.5,-7.74%,-4.12%,-3.44%,-4.30%,-6.02%
2026-02-04,5,600053,*ST九鼎,25.8,76.5,-10.00%,-15.31%,-19.11%,-20.08%,-26.09%
2026-02-05,1,000534,万泽股份,29.86,88.5,-2.71%,+6.10%,+11.52%,+7.97%,+16.88%
2026-02-05,2,002985,北摩高科,46.81,87.5,-5.85%,-7.61%,-6.11%,-8.48%,-6.43%
2026-02-05,3,000592,平潭发展,11.83,84.5,-1.78%,-3.04%,-6.17%,-8.37%,-11.58%
2026-02-05,4,603920,世运电路,67.48,81.8,-2.87%,-3.01%,-4.34%,-5.59%,-6.27%
2026-02-05,5,002623,亚玛顿,26.86,80.2,+4.80%,+15.30%,+16.53%,+20.89%,+18.69%
2026-02-06,1,603626,科森科技,24.23,89.5,+9.99%,+12.51%,+10.69%,+12.67%,+14.65%
2026-02-06,2,600345,长江通信,40.0,87.5,+1.40%,+9.40%,+4.17%,+6.90%,-0.88%
2026-02-06,3,002009,天奇股份,31.68,87.5,+2.97%,+6.34%,+1.58%,+2.27%,+12.50%
2026-02-06,4,002985,北摩高科,44.07,87.5,-1.86%,-0.27%,-2.79%,-0.61%,+0.00%
2026-02-06,5,603667,五洲新春,85.65,84.7,+2.77%,+6.46%,+2.10%,+0.81%,+5.83%
2026-02-09,1,603598,引力传媒,28.45,88.5,+10.02%,+2.95%,+2.99%,-2.95%,-11.25%
2026-02-09,2,002150,正泰电源,26.69,88.5,+5.06%,+7.61%,+8.88%,+6.11%,+7.12%
2026-02-09,3,605488,福莱新材,43.8,87.5,+3.84%,-0.16%,-1.55%,-2.83%,-4.93%
2026-02-09,4,600345,长江通信,40.56,87.5,+7.89%,+2.74%,+5.42%,-2.24%,+7.54%
2026-02-09,5,001326,联域股份,61.93,87.5,+2.79%,+0.24%,+0.00%,-3.29%,-1.94%
2026-02-10,1,603663,三祥新材,45.97,92.5,+0.65%,-0.07%,-1.81%,-3.07%,-3.05%
2026-02-10,2,002150,正泰电源,28.04,88.5,+2.43%,+3.64%,+1.00%,+1.96%,-4.56%
2026-02-10,3,605488,福莱新材,45.48,87.5,-3.85%,-5.19%,-6.42%,-8.44%,-8.77%
2026-02-10,4,600345,长江通信,43.76,87.5,-4.78%,-2.29%,-9.39%,-0.32%,-1.99%
2026-02-10,5,001326,联域股份,63.66,87.5,-2.48%,-2.72%,-5.92%,-4.60%,-4.19%
2026-02-11,1,603663,三祥新材,46.27,92.5,-0.71%,-2.44%,-3.70%,-3.67%,-1.45%
2026-02-11,2,002378,章源钨业,27.64,88.7,+9.99%,+10.60%,+10.35%,+21.38%,+33.54%
2026-02-11,3,002150,正泰电源,28.72,88.5,+1.18%,-1.39%,-0.45%,-6.82%,-4.74%
2026-02-11,4,603876,鼎胜新材,20.17,88.5,-2.33%,-1.24%,-3.07%,-2.18%,+2.18%
2026-02-11,5,605488,福莱新材,43.73,87.5,-1.39%,-2.68%,-4.78%,-5.12%,-6.81%
2026-02-12,1,605318,法狮龙,75.11,94.0,+1.45%,+2.32%,+3.97%,+6.48%,+5.05%
2026-02-12,2,002922,伊戈尔,46.38,92.5,-1.53%,-0.86%,+0.15%,+2.91%,-0.04%
2026-02-12,3,601126,四方股份,42.37,89.0,-3.21%,+1.46%,-1.30%,+4.91%,+4.72%
2026-02-12,4,002796,世嘉科技,48.4,87.7,-0.85%,-2.27%,-1.32%,+5.23%,+8.10%
2026-02-12,5,001326,联域股份,61.93,87.5,-3.29%,-1.94%,-1.52%,+1.71%,+5.68%
2026-02-13,1,605318,法狮龙,76.2,94.0,+0.85%,+2.48%,+4.96%,+3.54%,-0.13%
2026-02-13,2,603090,宏盛股份,82.52,93.7,-3.99%,-7.38%,-3.08%,-5.24%,-7.76%
2026-02-13,3,001267,汇绿生态,30.43,92.5,-1.74%,-2.99%,+0.85%,+0.13%,+10.15%
2026-02-13,4,002922,伊戈尔,45.67,92.5,+0.68%,+1.71%,+4.51%,+1.51%,+1.01%
2026-02-13,5,601126,四方股份,41.01,89.0,+4.83%,+1.98%,+8.39%,+8.19%,+16.24%
2026-02-24,1,603619,中曼石油,36.41,94.3,+3.24%,-1.04%,-0.71%,+9.23%,+20.16%
2026-02-24,2,000636,风华高科,23.4,89.2,+10.00%,+9.96%,+11.11%,+13.25%,+1.92%
2026-02-24,3,002491,通鼎互联,10.19,85.7,-6.48%,+2.85%,+3.93%,+9.13%,+20.02%
2026-02-24,4,600345,长江通信,43.62,80.5,-1.67%,-0.25%,+2.20%,+7.79%,-0.09%
2026-02-25,1,603619,中曼石油,37.59,94.3,-4.15%,-3.83%,+5.80%,+16.39%,+24.47%
2026-02-25,2,002114,罗平锌电,10.68,86.7,-3.46%,+1.22%,+0.56%,-6.27%,-5.43%
2026-02-25,3,600550,保变电气,17.4,85.7,+2.13%,+0.46%,-0.46%,-7.18%,+0.00%
2026-02-25,4,601208,东材科技,31.74,81.8,+6.90%,+10.11%,+10.02%,-0.19%,-0.91%
2026-02-25,5,600230,沧州大化,23.5,80.8,-4.21%,+5.36%,+12.85%,+5.02%,+2.89%
2026-02-26,1,603619,中曼石油,36.03,94.3,+0.33%,+10.38%,+21.43%,+29.86%,+20.59%
2026-02-26,2,002970,锐明技术,82.05,93.7,-0.84%,-3.38%,-8.85%,-5.84%,-4.98%
2026-02-26,3,000603,盛达资源,50.08,88.2,+3.83%,+12.96%,+1.66%,-2.16%,-4.27%
2026-02-26,4,002114,罗平锌电,10.31,86.7,+4.85%,+4.17%,-2.91%,-2.04%,-1.84%
2026-02-26,5,600550,保变电气,17.77,85.7,-1.63%,-2.53%,-9.12%,-2.08%,+7.09%
2026-03-02,1,002970,锐明技术,79.28,93.7,-5.66%,-2.55%,-1.66%,-2.56%,-5.90%
2026-03-02,2,001267,汇绿生态,33.52,93.2,+4.18%,+0.15%,+10.17%,+16.80%,+23.78%
2026-03-02,3,002114,罗平锌电,10.74,86.7,-6.80%,-5.96%,-5.77%,-5.77%,-6.89%
2026-03-02,4,000534,万泽股份,39.58,83.8,-10.01%,-10.23%,-5.28%,+4.19%,+14.60%
2026-03-02,5,601208,东材科技,34.92,81.8,-9.28%,-9.94%,-10.71%,-12.17%,-14.81%
2026-03-03,1,002970,锐明技术,74.79,93.7,+3.30%,+4.24%,+3.29%,-0.25%,+8.21%
2026-03-03,2,001267,汇绿生态,34.92,93.2,-3.87%,+5.76%,+12.11%,+18.81%,+30.70%
2026-03-03,3,000534,万泽股份,35.62,83.8,-0.25%,+5.25%,+15.78%,+27.34%,+33.77%
2026-03-03,4,603778,国晟科技,15.51,81.5,+2.00%,+0.26%,+10.32%,+14.25%,+22.05%
2026-03-03,5,002667,*ST威领,22.92,81.5,+7.55%,+5.85%,+16.45%,+22.16%,+30.93%
2026-03-04,1,001267,汇绿生态,33.57,93.2,+10.01%,+16.62%,+23.59%,+35.95%,+46.14%
2026-03-04,2,002952,亚世光电,24.05,91.3,+9.98%,+8.44%,+7.57%,+13.22%,+8.86%
2026-03-04,3,002957,科瑞技术,30.2,87.0,-4.74%,-5.96%,-12.02%,-7.95%,-6.82%
2026-03-04,4,603778,国晟科技,15.82,81.5,-1.71%,+8.15%,+12.01%,+19.66%,+31.61%
2026-03-04,5,002667,*ST威领,24.65,81.5,-1.58%,+8.28%,+13.59%,+21.74%,+33.91%
2026-03-05,1,603058,永吉股份,13.74,85.8,-1.97%,-4.59%,-1.24%,-2.04%,-3.86%
2026-03-05,2,002957,科瑞技术,28.77,83.0,-1.29%,-7.65%,-3.37%,-2.19%,-4.48%
2026-03-05,3,603778,国晟科技,15.55,81.5,+10.03%,+13.95%,+21.74%,+33.89%,+41.48%
2026-03-05,4,002885,京泉华,32.27,80.8,+1.39%,+0.62%,+2.67%,+0.43%,-3.32%
2026-03-05,5,002357,富临运业,16.09,79.3,+0.50%,-2.36%,-2.30%,-5.47%,-4.04%
2026-03-06,1,603058,永吉股份,13.47,85.8,-2.67%,+0.74%,-0.07%,-1.93%,-5.72%
2026-03-06,2,002957,科瑞技术,28.4,83.0,-6.44%,-2.11%,-0.92%,-3.24%,-7.57%
2026-03-06,3,002885,京泉华,32.72,80.8,-0.76%,+1.25%,-0.95%,-4.65%,-9.29%
2026-03-06,4,002357,富临运业,16.17,79.3,-2.84%,-2.78%,-5.94%,-4.51%,-2.91%
2026-03-06,5,000534,万泽股份,41.24,78.2,+9.99%,+15.54%,+12.51%,+8.39%,-1.62%
2026-03-09,1,002300,太阳电缆,11.57,87.5,+1.73%,+0.26%,-4.32%,-9.85%,-9.77%
2026-03-09,2,603058,永吉股份,13.11,85.8,+3.51%,+2.67%,+0.76%,-3.13%,-3.97%
2026-03-09,3,002885,京泉华,32.47,80.8,+2.03%,-0.18%,-3.91%,-8.59%,-9.73%
2026-03-09,4,002357,富临运业,15.71,79.3,+0.06%,-3.18%,-1.72%,-0.06%,-5.16%
2026-03-09,5,603688,石英股份,51.02,77.9,+6.53%,+5.25%,-0.45%,-5.12%,-7.51%
2026-03-10,1,002536,飞龙股份,38.09,92.5,+7.38%,+3.83%,-1.37%,-7.38%,-12.94%
2026-03-10,2,002300,太阳电缆,11.77,87.5,-1.44%,-5.95%,-11.38%,-11.30%,-14.53%
2026-03-10,3,003036,泰坦股份,18.63,86.7,+5.21%,+1.13%,-1.34%,-2.15%,-1.83%
2026-03-10,4,603058,永吉股份,13.57,85.8,-0.81%,-2.65%,-6.41%,-7.22%,-10.98%
2026-03-10,5,000818,航锦科技,24.1,81.7,-0.50%,+3.65%,-2.20%,-2.86%,-6.02%
2026-03-11,1,002536,飞龙股份,40.9,92.5,-3.30%,-8.14%,-13.74%,-18.92%,-15.40%
2026-03-11,2,002150,正泰电源,29.59,91.5,+10.00%,+12.98%,+6.83%,+17.51%,+11.52%
2026-03-11,3,002300,太阳电缆,11.6,87.5,-4.57%,-10.09%,-10.00%,-13.28%,-12.16%
2026-03-11,4,000014,沙河股份,14.53,86.8,+0.14%,-1.24%,+0.07%,+0.07%,+5.99%
2026-03-11,5,002248,华东数控,15.58,86.5,-5.58%,-9.24%,-10.98%,-14.51%,-12.58%
2026-03-12,1,603757,大元泵业,49.38,94.5,-0.67%,-2.21%,-10.33%,-1.36%,+0.14%
2026-03-12,2,002536,飞龙股份,39.55,92.5,-5.01%,-10.80%,-16.16%,-12.52%,-15.93%
2026-03-12,3,000014,沙河股份,14.55,86.8,-1.37%,-0.07%,-0.07%,+5.84%,+2.82%
2026-03-12,4,002248,华东数控,14.71,86.5,-3.87%,-5.71%,-9.45%,-7.41%,-11.62%
2026-03-12,5,003035,南网能源,10.6,84.5,-5.94%,-13.96%,-19.81%,-19.91%,-19.72%
2026-03-13,1,603757,大元泵业,49.05,94.5,-1.55%,-9.72%,-0.69%,+0.82%,-3.87%
2026-03-13,2,605318,法狮龙,73.5,94.3,+3.86%,+0.22%,-0.72%,-2.44%,-1.78%
2026-03-13,3,002536,飞龙股份,37.57,92.5,-6.10%,-11.74%,-7.91%,-11.50%,-16.61%
2026-03-13,4,603607,京华激光,24.55,91.8,+2.12%,+0.61%,-3.50%,-5.87%,-6.68%
2026-03-13,5,002438,江苏神通,19.26,87.3,-4.00%,-8.05%,-6.28%,-8.31%,-13.81%
2026-03-16,1,603757,大元泵业,48.29,94.5,-8.30%,+0.87%,+2.40%,-2.36%,-10.95%
2026-03-16,2,600667,太极实业,11.26,89.5,+2.93%,+3.55%,-0.27%,-5.15%,-11.46%
2026-03-16,3,002438,江苏神通,18.49,87.3,-4.22%,-2.38%,-4.49%,-10.22%,-15.25%
2026-03-16,4,002248,华东数控,13.87,86.5,-3.97%,-1.80%,-6.27%,-10.74%,-15.86%
2026-03-16,5,000899,赣能股份,13.72,84.5,-3.43%,-1.82%,-3.28%,-1.31%,-4.74%
2026-03-17,1,600667,太极实业,11.59,89.5,+0.60%,-3.11%,-7.85%,-13.98%,-11.65%
2026-03-17,2,603175,超颖电子,95.8,84.2,+2.61%,-4.33%,-8.97%,-18.07%,-16.21%
2026-03-17,3,002254,泰和新材,12.18,80.6,-2.46%,-7.47%,-10.67%,-16.01%,-14.94%
2026-03-17,4,603738,泰晶科技,22.85,77.8,+5.25%,+5.03%,+1.01%,+4.07%,+12.25%
2026-03-17,5,002235,安妮股份,11.37,72.0,+0.18%,-3.52%,-7.30%,-15.57%,-11.70%
2026-03-18,1,605286,同力天启,51.32,92.5,+0.27%,-6.61%,-9.22%,-4.11%,-2.84%
2026-03-18,2,600667,太极实业,11.66,89.5,-3.69%,-8.40%,-14.49%,-12.18%,-10.12%
2026-03-18,3,603757,大元泵业,48.71,87.5,+1.52%,-3.20%,-11.72%,-10.63%,-9.42%
2026-03-18,4,603912,佳力图,10.24,85.3,-0.10%,-1.76%,-8.59%,-7.03%,-4.49%
2026-03-18,5,603175,超颖电子,98.3,84.2,-6.77%,-11.28%,-20.15%,-18.34%,-10.17%
2026-03-19,1,605286,同力天启,51.46,92.5,-6.86%,-9.46%,-4.37%,-3.11%,-6.92%
2026-03-19,2,600667,太极实业,11.23,89.5,-4.90%,-11.22%,-8.82%,-6.68%,-13.00%
2026-03-19,3,603757,大元泵业,49.45,87.5,-4.65%,-13.04%,-11.97%,-10.78%,-9.81%
2026-03-19,4,001258,立新能源,10.25,84.5,-5.85%,+3.61%,+10.54%,+15.02%,+5.85%
2026-03-19,5,603175,超颖电子,91.65,84.2,-4.84%,-14.36%,-12.42%,-3.66%,-6.20%
2026-03-20,1,605286,同力天启,47.93,92.5,-2.80%,+2.67%,+4.03%,-0.06%,-2.25%
2026-03-20,2,600667,太极实业,10.68,89.5,-6.65%,-4.12%,-1.87%,-8.52%,-8.15%
2026-03-20,3,603757,大元泵业,47.15,87.5,-8.80%,-7.68%,-6.43%,-5.41%,-5.96%
2026-03-20,4,603912,佳力图,10.06,85.3,-6.96%,-5.37%,-2.78%,-9.54%,-8.55%
2026-03-20,5,603175,超颖电子,87.21,84.2,-10.00%,-7.96%,+1.25%,-1.42%,+0.37%
2026-03-23,1,605286,同力天启,46.59,92.5,+5.62%,+7.02%,+2.81%,+0.56%,-5.26%
2026-03-23,2,605169,洪通燃气,13.79,84.7,+0.80%,-0.22%,-1.45%,-1.31%,-5.51%
2026-03-23,3,603538,美诺华,26.76,73.5,+10.01%,+21.00%,+33.11%,+46.41%,+61.06%
2026-03-23,4,000968,蓝焰控股,11.0,69.4,-4.73%,-9.64%,-0.64%,+5.18%,-0.45%
2026-03-24,1,605169,洪通燃气,13.9,84.7,-1.01%,-2.23%,-2.09%,-6.26%,-12.37%
2026-03-24,2,603017,中衡设计,13.93,84.5,+0.00%,+4.81%,+2.87%,+13.14%,+17.16%
2026-03-24,3,603727,博迈科,19.56,80.3,+3.12%,+4.60%,+6.85%,+2.40%,-3.73%
2026-03-24,4,002082,ST万邦,19.79,79.5,+8.74%,+19.61%,+31.58%,+38.71%,+52.60%
2026-03-24,5,601858,中国科传,24.27,73.5,+3.96%,+1.94%,-1.73%,-1.48%,-5.77%
2026-03-25,1,603017,中衡设计,13.93,84.5,+4.81%,+2.87%,+13.14%,+17.16%,+26.13%
2026-03-25,2,603727,博迈科,20.17,84.3,+1.44%,+3.62%,-0.69%,-6.64%,+2.73%
2026-03-25,3,002082,ST万邦,21.52,83.5,+9.99%,+21.00%,+27.56%,+40.33%,+54.28%
2026-03-25,4,002730,电光科技,25.86,81.5,-10.02%,-5.57%,-5.61%,+2.47%,+12.72%
2026-03-25,5,601858,中国科传,25.23,73.5,-1.94%,-5.47%,-5.23%,-9.35%,-8.60%
2026-03-26,1,000703,恒逸石化,12.59,85.0,-1.27%,-1.91%,-3.18%,+0.71%,+1.11%
2026-03-26,2,000037,深南电A,11.99,84.5,+3.42%,-1.25%,+8.59%,-1.17%,-9.67%
2026-03-26,3,603017,中衡设计,14.6,84.5,-1.85%,+7.95%,+11.78%,+20.34%,+10.68%
2026-03-26,4,603727,博迈科,20.46,84.3,+2.15%,-2.10%,-7.97%,+1.27%,+1.81%
2026-03-26,5,002730,电光科技,23.27,81.5,+4.94%,+4.90%,+13.88%,+25.27%,+26.73%
2026-03-27,1,000703,恒逸石化,12.43,85.0,-0.64%,-1.93%,+2.01%,+2.41%,+3.54%
2026-03-27,2,000037,深南电A,12.4,84.5,-4.52%,+5.00%,-4.44%,-12.66%,-21.37%
2026-03-27,3,600996,贵广网络,10.02,84.5,+9.98%,+3.19%,+2.50%,-3.99%,-5.89%
2026-03-27,4,603017,中衡设计,14.33,84.5,+9.98%,+13.89%,+22.61%,+12.77%,+1.47%
2026-03-27,5,603727,博迈科,20.9,84.3,-4.16%,-9.90%,-0.86%,-0.33%,-4.21%
2026-03-31,1,600769,祥龙电业,14.05,84.7,-0.85%,-0.57%,-2.49%,-6.48%,-1.28%
2026-03-31,2,600996,贵广网络,10.34,84.5,-0.68%,-6.96%,-8.80%,-9.57%,-6.77%
2026-03-31,3,603387,基蛋生物,10.02,84.5,+6.09%,+6.29%,+0.90%,+2.69%,+1.10%
2026-03-31,4,600268,国电南自,15.48,76.7,+1.23%,-1.94%,-9.37%,-12.02%,-5.23%
2026-03-31,5,603978,深圳新星,24.76,76.0,+0.85%,-0.69%,-5.21%,-4.97%,-0.69%
2026-04-01,1,603158,腾龙股份,12.28,85.5,-2.04%,-5.62%,-7.65%,+0.16%,+7.17%
2026-04-01,2,600769,祥龙电业,13.93,84.7,+0.29%,-1.65%,-5.67%,-0.43%,+6.25%
2026-04-01,3,600996,贵广网络,10.27,84.5,-6.33%,-8.18%,-8.96%,-6.13%,-8.37%
2026-04-01,4,002083,孚日股份,12.95,84.5,-3.94%,-8.42%,-7.34%,-6.18%,-7.34%
2026-04-01,5,603387,基蛋生物,10.63,84.5,+0.19%,-4.89%,-3.20%,-4.70%,-8.28%
2026-04-02,1,603158,腾龙股份,12.03,85.5,-3.66%,-5.74%,+2.24%,+9.39%,+6.98%
2026-04-02,2,002083,孚日股份,12.44,84.5,-4.66%,-3.54%,-2.33%,-3.54%,+3.05%
2026-04-02,3,603042,华脉科技,21.76,80.2,-4.69%,+4.83%,+2.57%,+7.26%,+1.06%
2026-04-02,4,601133,柏诚股份,18.92,79.5,+2.96%,+13.27%,+18.60%,+30.44%,+31.61%
2026-04-02,5,605287,德才股份,41.39,72.4,-5.22%,-6.60%,+2.75%,+4.86%,+4.57%
2026-04-03,1,603158,腾龙股份,11.59,85.5,-2.16%,+6.13%,+13.55%,+11.04%,+9.92%
2026-04-03,2,002083,孚日股份,11.86,84.5,+1.18%,+2.45%,+1.18%,+8.09%,+11.38%
2026-04-03,3,002831,裕同科技,35.29,82.3,-0.14%,+5.07%,+7.82%,+6.69%,+5.81%
2026-04-03,4,603042,华脉科技,20.74,80.2,+9.98%,+7.62%,+12.54%,+6.03%,+6.99%
2026-04-03,5,601133,柏诚股份,19.48,79.5,+10.01%,+15.20%,+26.69%,+27.82%,+26.03%
2026-04-07,1,600791,京能置业,11.79,85.5,+6.45%,+14.84%,+7.63%,+2.04%,+0.51%
2026-04-07,2,002831,裕同科技,35.24,82.3,+5.22%,+7.97%,+6.84%,+5.96%,+4.57%
2026-04-07,3,600955,维远股份,18.1,77.3,+1.88%,-0.55%,-0.99%,+1.82%,+2.76%
2026-04-07,4,002637,赞宇科技,12.28,76.2,-0.90%,-2.28%,-0.98%,-0.73%,+0.33%
2026-04-07,5,603002,宏昌电子,10.67,74.5,+3.19%,+4.03%,+2.53%,+9.56%,+20.52%
2026-04-08,1,600791,京能置业,12.55,85.5,+7.89%,+1.12%,-4.14%,-5.58%,-5.42%
2026-04-08,2,603311,金海高科,17.41,85.5,+0.34%,+1.67%,+7.35%,+9.42%,+8.67%
2026-04-08,3,603757,大元泵业,49.24,85.2,+9.99%,+11.92%,+13.51%,+13.87%,+17.55%
2026-04-08,4,002831,裕同科技,37.08,82.3,+2.62%,+1.54%,+0.70%,-0.62%,-2.00%
2026-04-08,5,600869,远东股份,15.83,79.3,+0.95%,-1.45%,-3.85%,-4.61%,-2.84%
2026-04-09,1,603507,振江股份,46.21,94.7,+2.23%,+1.06%,-0.35%,-2.34%,-0.74%
2026-04-09,2,603090,宏盛股份,68.06,92.5,+0.21%,+5.50%,+4.47%,-1.44%,+2.37%
2026-04-09,3,002718,友邦吊顶,76.11,92.5,+3.02%,-2.90%,-4.51%,-2.55%,-1.08%
2026-04-09,4,600791,京能置业,13.54,85.5,-6.28%,-11.15%,-12.48%,-12.33%,-10.78%
2026-04-09,5,603311,金海高科,17.47,85.5,+1.32%,+6.98%,+9.04%,+8.30%,+12.76%
2026-04-10,1,000762,西藏矿业,33.88,92.5,-0.65%,+1.33%,-0.41%,+9.53%,+8.74%
2026-04-10,2,603090,宏盛股份,68.2,92.5,+5.28%,+4.25%,-1.64%,+2.16%,+8.37%
2026-04-10,3,002718,友邦吊顶,78.41,92.5,-5.75%,-7.31%,-5.41%,-3.98%,-3.51%
2026-04-10,4,001287,中电港,26.42,89.5,+2.01%,+1.40%,+3.67%,+4.43%,+2.08%
2026-04-10,5,600791,京能置业,12.69,85.5,-5.20%,-6.62%,-6.46%,-4.81%,-1.89%
2026-04-13,1,002240,盛新锂能,44.86,92.8,+8.07%,+3.14%,+11.01%,+12.13%,+10.79%
2026-04-13,2,000762,西藏矿业,33.66,92.5,+1.99%,+0.24%,+10.25%,+9.45%,+6.95%
2026-04-13,3,002718,友邦吊顶,73.9,92.5,-1.65%,+0.37%,+1.88%,+2.38%,+0.03%
2026-04-13,4,001287,中电港,26.95,89.5,-0.59%,+1.63%,+2.37%,+0.07%,+2.89%
2026-04-13,5,603897,长城科技,39.8,86.0,+4.90%,+12.54%,+23.79%,+26.41%,+24.07%
