keyword,code,name,sector,matched_strategies,matched_count,is_startup,startup_label
存储封测,000021,深科技,半导体,无,0,True,✅ 启动阶段
海工装备,002427,尤夫股份,其他,无,0,True,✅ 启动阶段
海工装备,601798,蓝科高新,公告,无,0,True,✅ 启动阶段
电容纸,603733,仙鹤股份,AI硬件,无,0,True,✅ 启动阶段
电子浸没冷却液,605020,永和股份,美伊战争,无,0,True,✅ 启动阶段
电源管理模拟芯片,688381,帝奥微,光通信,无,0,True,✅ 启动阶段
植物基产品,605300,佳禾食品,大消费,无,0,True,✅ 启动阶段
民爆,002497,雅化集团,锂电池,无,0,True,✅ 启动阶段
模拟芯片(光模块上游,688381,帝奥微,光通信,无,0,True,✅ 启动阶段
机器人(仿生肌肉,300819,聚杰微纤,PCB,无,0,True,✅ 启动阶段
服务器液冷,002600,领益智造,数据中心散热,无,0,True,✅ 启动阶段
流感治疗(海南,000566,海南海药,医疗医药,无,0,True,✅ 启动阶段
玻璃基板设备,603800,洪田股份,PCB,无,0,True,✅ 启动阶段
烟草,603733,仙鹤股份,AI硬件,无,0,True,✅ 启动阶段
激光雷达核心部件,603297,永新光学,半导体,无,0,True,✅ 启动阶段
游戏出海,002558,巨人网络,算力,无,0,True,✅ 启动阶段
游戏IP,002558,巨人网络,算力,无,0,True,✅ 启动阶段
涤纶工业丝,002427,尤夫股份,其他,无,0,True,✅ 启动阶段
海外拓展,688376,美埃科技,半导体,无,0,True,✅ 启动阶段
石英布(斗山,001359,平安电工,PCB,无,0,True,✅ 启动阶段
石药控股入主,000908,ST景峰,医疗医药,无,0,True,✅ 启动阶段
锂电池铜带,603527,众源新材,PCB,无,0,True,✅ 启动阶段
锂电导导电炭黑,002068,黑猫股份,被动元件,无,0,True,✅ 启动阶段
钙钛矿电池,605598,上海港湾,商业航天,无,0,True,✅ 启动阶段
钙钛矿,688669,聚石化学,半导体,无,0,True,✅ 启动阶段
进出口贸易,600668,尖峰集团,其他,无,0,True,✅ 启动阶段
轮胎特种材料,603650,彤程新材,半导体,无,0,True,✅ 启动阶段
高压组合电器,002452,长高电新,其他,无,0,True,✅ 启动阶段
高速高频线缆料,605020,永和股份,美伊战争,无,0,True,✅ 启动阶段
高速铜缆连接线(戴尔,605277,新亚电子,AI硬件,无,0,True,✅ 启动阶段
高速铜缆连接,301310,鑫宏业,机器人,无,0,True,✅ 启动阶段
高端电解纸(AI服务器,603733,仙鹤股份,AI硬件,无,0,True,✅ 启动阶段
高多层HDI,603386,骏亚科技,PCB,无,0,True,✅ 启动阶段
间接持股长鑫科技,600909,华安证券,其他,无,0,True,✅ 启动阶段
间接客户甲骨文,605277,新亚电子,AI硬件,无,0,True,✅ 启动阶段
间接供货比亚迪,603297,永新光学,半导体,无,0,True,✅ 启动阶段
长鑫供应商,000021,深科技,半导体,无,0,True,✅ 启动阶段
车路协同,301132,满坤科技,PCB,无,0,True,✅ 启动阶段
车联网,300506,ST名家汇,其他,无,0,True,✅ 启动阶段
航天UHMWPE,002427,尤夫股份,其他,无,0,True,✅ 启动阶段
腱绳,002427,尤夫股份,其他,无,0,True,✅ 启动阶段
股东回馈,605300,佳禾食品,大消费,无,0,True,✅ 启动阶段
肝素,002550,千红制药,医疗医药,无,0,True,✅ 启动阶段
航季新开线,002928,华夏航空,大消费,无,0,True,✅ 启动阶段
粉末油脂(下游奶茶,605300,佳禾食品,大消费,无,0,True,✅ 启动阶段
筹划发行H股,603650,彤程新材,半导体,无,0,True,✅ 启动阶段
稳定币结算,002803,吉宏股份,美伊战争,无,0,True,✅ 启动阶段
航空客运,002928,华夏航空,大消费,无,0,True,✅ 启动阶段
超自然行动组,002558,巨人网络,算力,无,0,True,✅ 启动阶段
覆铜板阻燃剂,603010,万盛股份,PCB,无,0,True,✅ 启动阶段
被动元件分销,920249,利尔达,被动元件,无,0,True,✅ 启动阶段
薄膜铌酸锂调制器,600877,电科芯片,商业航天,无,0,True,✅ 启动阶段
荣耀卫星芯片,600877,电科芯片,商业航天,无,0,True,✅ 启动阶段
苹果汁,600962,国投中鲁,半导体,无,0,True,✅ 启动阶段
苹果功能材料,688093,XD世华科,PCB,无,0,True,✅ 启动阶段
芯片处理器,300223,北京君正,存储,无,0,True,✅ 启动阶段
芯片业务,920249,利尔达,被动元件,无,0,True,✅ 启动阶段
智能算力集群建设,301396,宏景科技,算力租赁,无,0,True,✅ 启动阶段
供货新凯来,603690,至纯科技,半导体,无,0,True,✅ 启动阶段
光学材料,688093,XD世华科,PCB,无,0,True,✅ 启动阶段
储能BMS,301366,一博科技,其他,无,0,True,✅ 启动阶段
偏光片,002876,三利谱,其他,无,0,True,✅ 启动阶段
供货长鑫,603690,至纯科技,半导体,无,0,True,✅ 启动阶段
供货宇树,688381,帝奥微,光通信,无,0,True,✅ 启动阶段
人形机器人(灵巧手,002965,祥鑫科技,公告,无,0,True,✅ 启动阶段
人形机器人(智元,002600,领益智造,数据中心散热,无,0,True,✅ 启动阶段
半导体清洗设备,603690,至纯科技,半导体,无,0,True,✅ 启动阶段
卫星,603386,骏亚科技,PCB,无,0,True,✅ 启动阶段
华为核心供应商,000021,深科技,半导体,无,0,True,✅ 启动阶段
半导体超洁净装备,688376,美埃科技,半导体,无,0,True,✅ 启动阶段
半导体级PFA,605020,永和股份,美伊战争,无,0,True,✅ 启动阶段
半导体分销,300650,太龙股份,存储,无,0,True,✅ 启动阶段
医药业务,600668,尖峰集团,其他,无,0,True,✅ 启动阶段
化工供应链综合服务,603713,密尔克卫,其他,无,0,True,✅ 启动阶段
制冷剂,605020,永和股份,美伊战争,无,0,True,✅ 启动阶段
IDC电源,002518,科士达,数据中心散热,无,0,True,✅ 启动阶段
EEPROM芯片,688123,聚辰股份,半导体,无,0,True,✅ 启动阶段
AI推理服务器(华为,000034,神州数码,算力,无,0,True,✅ 启动阶段
AI导购智能体,600228,*ST返利,公告,无,0,True,✅ 启动阶段
AI基础设施布局,002558,巨人网络,算力,无,0,True,✅ 启动阶段
MCU涨价,688380,中微半导,存储,无,0,True,✅ 启动阶段
三乙胺(VC上游,603948,建业股份,锂电池,无,0,True,✅ 启动阶段
TAC膜国产化,002876,三利谱,其他,无,0,True,✅ 启动阶段
PPO树脂(传,600579,中化装备,PCB,无,0,True,✅ 启动阶段
PCIe5.0交换芯片,600246,万通发展,半导体,无,0,True,✅ 启动阶段
PCB铜箔设备,603800,洪田股份,PCB,无,0,True,✅ 启动阶段
PCB(服务器电源,301132,满坤科技,PCB,无,0,True,✅ 启动阶段
OLED面板封装,002643,万润股份,半导体,无,0,True,✅ 启动阶段
MicroLED光互连,688593,新相微,半导体,无,0,True,✅ 启动阶段
拟购买服务器及配套设备,001339,智微智能,算力租赁,无,0,True,✅ 启动阶段
拟收购中国电子院(洁净室,600962,国投中鲁,半导体,无,0,True,✅ 启动阶段
感光干膜,688093,XD世华科,PCB,无,0,True,✅ 启动阶段
抛光垫,603650,彤程新材,半导体,无,0,True,✅ 启动阶段
撤销退市风险警示,600228,*ST返利,公告,无,0,True,✅ 启动阶段
支线航空,002928,华夏航空,大消费,无,0,True,✅ 启动阶段
智慧灯杆,300650,太龙股份,存储,无,0,True,✅ 启动阶段
智慧城市,300506,ST名家汇,其他,无,0,True,✅ 启动阶段
显示芯片,688593,新相微,半导体,无,0,True,✅ 启动阶段
显示屏幕,002387,维信诺,半导体,无,0,True,✅ 启动阶段
无迹折叠屏,002387,维信诺,半导体,无,0,True,✅ 启动阶段
数模和模拟芯片,688380,中微半导,存储,无,0,True,✅ 启动阶段
改性塑料,688669,聚石化学,半导体,无,0,True,✅ 启动阶段
收购酷尔芯,002965,祥鑫科技,公告,无,0,True,✅ 启动阶段
可转债获批,002550,千红制药,医疗医药,无,0,True,✅ 启动阶段
固态电池(硫化锂新工艺,002497,雅化集团,锂电池,无,0,True,✅ 启动阶段
四氯化锗(光纤,600497,驰宏锌锗,光通信,无,0,True,✅ 启动阶段
四川,002497,雅化集团,锂电池,无,0,True,✅ 启动阶段
咖啡等,605300,佳禾食品,大消费,无,0,True,✅ 启动阶段
咖啡产品,605300,佳禾食品,大消费,无,0,True,✅ 启动阶段
合作地平线,920249,利尔达,被动元件,无,0,True,✅ 启动阶段
司法拍卖,000908,ST景峰,医疗医药,无,0,True,✅ 启动阶段
复合铜铝箔设备,603800,洪田股份,PCB,无,0,True,✅ 启动阶段
外卖包装,002803,吉宏股份,美伊战争,无,0,True,✅ 启动阶段
并购预期,600909,华安证券,其他,无,0,True,✅ 启动阶段
岩土工程综合服务(西南水电,605598,上海港湾,商业航天,无,0,True,✅ 启动阶段
安费诺,605277,新亚电子,AI硬件,无,0,True,✅ 启动阶段
存力,603019,中科曙光,算力,无,0,True,✅ 启动阶段
太空用芯片,300223,北京君正,存储,无,0,True,✅ 启动阶段
存储封测,600584,长电科技,半导体,无,0,False,—
对位芳纶(光纤,002254,泰和新材,光通信,无,0,False,—
含硫硅烷偶联剂(有机硅,605366,宏柏新材,光通信,无,0,False,—
四氯化硅(光纤上游,600596,新安股份,光通信,无,0,False,—
四氯化硅(光纤上游,603938,三孚股份,光通信,无,0,False,—
玻纤织机,002520,日发精机,PCB,无,0,False,—
电池材料,600516,方大炭素,数据中心散热,无,0,False,—
电池钢壳,002787,华源控股,半导体,无,0,False,—
核辐射防治,002980,华盛昌,光通信,无,0,False,—
林木,002240,盛新锂能,锂电池,无,0,False,—
法拉第旋光片在研,600184,光电股份,光通信,无,0,False,—
火锅,603317,天味食品,公告,无,0,False,—
清洁机器人,000967,盈峰环境,算力租赁,无,0,False,—
碳化硅设备,002943,宇晶股份,半导体,无,0,False,—
锂电正极材料,002192,融捷股份,锂电池,无,0,False,—
铌酸锂晶体,600330,天通股份,光通信,无,0,False,—
金属钽(钽电容,000962,东方钽业,被动元件,无,0,False,—
量子传感器,002980,华盛昌,光通信,无,0,False,—
长征10号乙,603698,航天工程,商业航天,无,0,False,—
高速光模块,002025,航天电器,光通信,无,0,False,—
高速互联芯片,000925,众合科技,光通信,无,0,False,—
长鑫产业链,601133,柏诚股份,半导体,无,0,False,—
航天粉煤,603698,航天工程,商业航天,无,0,False,—
航天一院,603698,航天工程,商业航天,无,0,False,—
网传华为昇腾,002897,意华股份,AI硬件,无,0,False,—
第一大股东变更(湖北省国资,000783,长江证券,其他,无,0,False,—
设立新公司(光模块,002787,华源控股,半导体,无,0,False,—
芯片测试设备,603061,金海通,半导体,无,0,False,—
储能变流器,603063,禾望电气,AI硬件,无,0,False,—
供应处理,603045,福达合金,AI硬件,无,0,False,—
人形机器人(数控螺纹磨床,002520,日发精机,PCB,无,0,False,—
云算力(庆阳,000925,众合科技,光通信,无,0,False,—
原油运输,601872,招商轮船,美伊战争,无,0,False,—
卫星玻璃(切割设备,002943,宇晶股份,半导体,无,0,False,—
光隔离器,600184,光电股份,光通信,无,0,False,—
军工(电容器,603267,鸿远电子,被动元件,无,0,False,—
二手车销售,605151,西上海,其他,无,0,False,—
中字头(央企,002051,中工国际,美伊战争,无,0,False,—
LNG保温板,002409,雅克科技,半导体,无,0,False,—
AMD供应商,603061,金海通,半导体,无,0,False,—
AI可信数据空间(央企,000032,深桑达Ａ,半导体,无,0,False,—
ABF膜(封装基板材料,600186,莲花控股,半导体,无,0,False,—
可转债扩产,603061,金海通,半导体,无,0,False,—
拟收购贵州贡岩气,600903,贵州燃气,半导体,无,0,False,—
拟收购坛坛香食品,603317,天味食品,公告,无,0,False,—
拟投建锂电池负极材料项目,002192,融捷股份,锂电池,无,0,False,—
拟参与杉杉集团重整招募,600516,方大炭素,数据中心散热,无,0,False,—
拟78亿元建设先进封测工厂,600584,长电科技,公告,无,0,False,—
投资电池项目,600152,维科技术,其他,无,0,False,—
投资宇树,002787,华源控股,半导体,无,0,False,—
投建高阶HDI,603459,红板科技,公告,无,0,False,—
224G高速连接器,002025,航天电器,光通信,无,0,False,—
智慧物流(上海,605151,西上海,其他,无,0,False,—
无人驾驶环卫车,000967,盈峰环境,算力租赁,无,0,False,—
数据中心电源(UPS,002580,圣阳股份,数据中心散热,无,0,False,—
数据中心(HVDC,002364,中恒电气,AI硬件,无,0,False,—
收购伽蓝特(光模块,002980,华盛昌,光通信,无,0,False,—
塑料防盗瓶盖,003018,金富科技,数据中心散热,无,0,False,—
基建(伊朗,002051,中工国际,美伊战争,无,0,False,—
四氯化硅(光纤,605366,宏柏新材,光通信,无,0,False,—
啤酒拉环盖,003018,金富科技,数据中心散热,无,0,False,—
复合调味品,603317,天味食品,公告,无,0,False,—
外延并购,603317,天味食品,公告,无,0,False,—
座椅盖板,605151,西上海,其他,无,0,False,—
并购贷款落地,003018,金富科技,数据中心散热,无,0,False,—
干散货运输,601872,招商轮船,美伊战争,无,0,False,—
定增,600152,维科技术,其他,无,0,False,—
宁德时代拟入股,002364,中恒电气,AI硬件,无,0,False,—
存储设备,603061,金海通,半导体,无,0,False,—
存储(供应长鑫,603459,红板科技,公告,无,0,False,—
