date,rank,code,name,score,close,is_limit_up,is_limit_down
2026-01-05,1,002969,嘉美包装,10.0,13.7,False,False
2026-01-05,2,002361,神剑股份,9.0,13.7,False,False
2026-01-05,3,002931,锋龙股份,7.0,34.87,True,False
2026-01-05,4,002347,泰尔股份,6.0,13.14,False,False
2026-01-05,5,603278,大业股份,6.0,16.1,False,False
2026-01-06,1,001331,胜通能源,13.0,50.94,True,False
2026-01-06,2,002969,嘉美包装,11.0,15.07,True,False
2026-01-06,3,002361,神剑股份,9.0,14.46,False,False
2026-01-06,4,002931,锋龙股份,8.0,38.36,True,False
2026-01-06,5,002703,浙江世宝,7.0,23.96,True,False
2026-01-07,1,001331,胜通能源,13.0,56.03,True,False
2026-01-07,2,002931,锋龙股份,9.0,42.2,True,False
2026-01-07,3,002361,神剑股份,9.0,14.41,False,False
2026-01-07,4,002413,雷科防务,7.0,16.71,True,False
2026-01-07,5,002788,鹭燕医药,7.0,24.99,True,False
2026-01-08,1,001331,胜通能源,13.0,60.04,False,False
2026-01-08,2,002361,神剑股份,10.0,15.85,True,False
2026-01-08,3,002931,锋龙股份,10.0,46.42,True,False
2026-01-08,4,002788,鹭燕医药,8.0,27.49,True,False
2026-01-08,5,002792,通宇通讯,7.0,57.31,True,False
2026-01-09,1,001331,胜通能源,13.0,58.55,False,False
2026-01-09,2,002931,锋龙股份,11.0,51.06,True,False
2026-01-09,3,002361,神剑股份,10.0,15.6,False,False
2026-01-09,4,002788,鹭燕医药,8.0,26.82,False,False
2026-01-09,5,002792,通宇通讯,7.0,60.78,False,False
2026-01-12,1,002931,锋龙股份,11.0,56.17,True,False
2026-01-12,2,002969,嘉美包装,11.0,16.58,True,False
2026-01-12,3,002361,神剑股份,10.0,16.8,False,False
2026-01-12,4,001331,胜通能源,10.0,58.63,False,False
2026-01-12,5,002413,雷科防务,7.0,20.13,True,False
2026-01-13,1,002931,锋龙股份,12.0,61.79,True,False
2026-01-13,2,002969,嘉美包装,10.0,17.55,False,False
2026-01-13,3,002361,神剑股份,9.0,16.48,False,False
2026-01-13,4,001331,胜通能源,9.0,62.28,False,False
2026-01-13,5,002718,友邦吊顶,7.0,62.33,True,False
2026-01-14,1,002969,嘉美包装,10.0,19.31,True,False
2026-01-14,2,002361,神剑股份,9.0,18.12,True,False
2026-01-14,3,001331,胜通能源,8.0,58.26,False,False
2026-01-14,4,002519,银河电子,7.0,11.46,True,False
2026-01-14,5,003007,直真科技,7.0,59.73,True,False
2026-01-15,1,002969,嘉美包装,10.0,17.38,False,True
2026-01-15,2,002361,神剑股份,9.0,16.31,False,True
2026-01-15,3,002718,友邦吊顶,8.0,61.7,False,True
2026-01-15,4,001331,胜通能源,8.0,52.43,False,True
2026-01-15,5,002519,银河电子,7.0,10.31,False,True
2026-01-16,1,002969,嘉美包装,10.0,15.64,False,True
2026-01-16,2,002361,神剑股份,9.0,14.68,False,True
2026-01-16,3,002718,友邦吊顶,8.0,55.53,False,True
2026-01-16,4,001331,胜通能源,8.0,49.8,False,False
2026-01-16,5,002519,银河电子,7.0,9.28,False,True
2026-01-19,1,002718,友邦吊顶,8.0,61.08,True,False
2026-01-19,2,002969,嘉美包装,8.0,17.2,True,False
2026-01-19,3,002519,银河电子,7.0,8.35,False,True
2026-01-19,4,001255,博菲电气,6.0,49.69,False,True
2026-01-19,5,002361,神剑股份,6.0,13.21,False,True
2026-01-20,1,002969,嘉美包装,8.0,18.92,True,False
2026-01-20,2,002718,友邦吊顶,8.0,61.5,False,False
2026-01-20,3,300986,志特新材,7.0,33.8,True,False
2026-01-20,4,001255,博菲电气,6.0,44.72,False,True
2026-01-20,5,002465,海格通信,6.0,18.03,False,False
2026-01-21,1,002969,嘉美包装,7.0,19.41,False,False
2026-01-21,2,300986,志特新材,7.0,34.8,False,False
2026-01-21,3,001255,博菲电气,6.0,40.25,False,True
2026-01-21,4,002796,世嘉科技,5.0,47.81,True,False
2026-01-21,5,600676,交运股份,5.0,9.83,True,False
2026-01-22,1,002969,嘉美包装,8.0,21.35,True,False
2026-01-22,2,002718,友邦吊顶,8.0,62.98,False,False
2026-01-22,3,300986,志特新材,7.0,33.2,False,False
2026-01-22,4,001255,博菲电气,6.0,39.84,False,False
2026-01-22,5,002201,九鼎新材,5.0,13.86,True,False
2026-01-23,1,300986,志特新材,8.0,39.84,True,False
2026-01-23,2,002969,嘉美包装,8.0,23.17,False,False
2026-01-23,3,002112,三变科技,6.0,23.96,True,False
2026-01-23,4,002716,湖南白银,6.0,16.44,True,False
2026-01-23,5,301171,易点天下,6.0,50.75,True,False
2026-01-26,1,300986,志特新材,8.0,41.0,False,False
2026-01-26,2,002201,九鼎新材,6.0,16.28,True,False
2026-01-26,3,600986,浙文互联,6.0,13.26,True,False
2026-01-26,4,002112,三变科技,6.0,22.98,False,False
2026-01-26,5,001337,四川黄金,5.0,54.79,True,False
2026-01-27,1,300986,志特新材,8.0,43.27,False,False
2026-01-27,2,002716,湖南白银,7.0,17.64,False,False
2026-01-27,3,002342,巨力索具,7.0,13.21,False,False
2026-01-27,4,001337,四川黄金,6.0,60.27,True,False
2026-01-27,5,002796,世嘉科技,6.0,50.39,True,False
2026-01-28,1,002342,巨力索具,8.0,14.53,True,False
2026-01-28,2,300986,志特新材,8.0,37.65,False,True
2026-01-28,3,000506,招金黄金,6.0,25.93,True,False
2026-01-28,4,603052,可川科技,6.0,62.07,True,False
2026-01-28,5,002796,世嘉科技,6.0,49.8,False,False
2026-01-29,1,002342,巨力索具,8.0,14.14,False,False
2026-01-29,2,300986,志特新材,8.0,39.26,False,False
2026-01-29,3,002519,银河电子,8.0,8.08,False,False
2026-01-29,4,000506,招金黄金,7.0,28.52,True,False
2026-01-29,5,600986,浙文互联,7.0,13.78,True,False
2026-01-30,1,002342,巨力索具,8.0,14.7,False,False
2026-01-30,2,300986,志特新材,8.0,37.35,False,False
2026-01-30,3,603598,引力传媒,7.0,29.37,True,False
2026-01-30,4,000506,招金黄金,7.0,25.67,False,True
2026-01-30,5,600986,浙文互联,7.0,13.11,False,False
2026-02-02,1,001337,四川黄金,8.0,59.06,False,True
2026-02-02,2,002716,湖南白银,8.0,17.14,False,True
2026-02-02,3,002342,巨力索具,8.0,14.55,False,False
2026-02-02,4,000506,招金黄金,7.0,23.1,False,True
2026-02-02,5,600986,浙文互联,7.0,14.02,False,False
2026-02-03,1,002342,巨力索具,8.0,16.01,True,False
2026-02-03,2,600986,浙文互联,8.0,15.42,True,False
2026-02-03,3,001337,四川黄金,8.0,55.59,False,False
2026-02-03,4,002716,湖南白银,8.0,15.43,False,True
2026-02-03,5,600785,新华百货,7.0,25.65,True,False
2026-02-04,1,002342,巨力索具,8.0,17.61,True,False
2026-02-04,2,001337,四川黄金,8.0,50.62,False,False
2026-02-04,3,002716,湖南白银,8.0,15.44,False,False
2026-02-04,4,600785,新华百货,7.0,25.35,False,False
2026-02-04,5,600986,浙文互联,7.0,14.81,False,False
2026-02-05,1,002342,巨力索具,8.0,18.88,False,False
2026-02-05,2,002995,天地在线,7.0,36.62,True,False
2026-02-05,3,002112,三变科技,7.0,23.1,False,False
2026-02-05,4,600785,新华百货,7.0,24.4,False,False
2026-02-05,5,600986,浙文互联,7.0,15.52,False,False
2026-02-06,1,002112,三变科技,8.0,25.41,True,False
2026-02-06,2,002342,巨力索具,8.0,20.38,False,False
2026-02-06,3,002995,天地在线,7.0,35.23,False,False
2026-02-06,4,600785,新华百货,7.0,22.58,False,False
2026-02-06,5,600986,浙文互联,7.0,14.0,False,True
2026-02-09,1,002830,名雕股份,7.0,33.72,True,False
2026-02-09,2,002995,天地在线,7.0,34.0,False,False
2026-02-09,3,002218,拓日新能,6.0,7.96,True,False
2026-02-09,4,002455,百川股份,6.0,12.25,True,False
2026-02-09,5,002506,协鑫集成,6.0,5.04,True,False
2026-02-10,1,002455,百川股份,7.0,13.48,True,False
2026-02-10,2,603103,横店影视,7.0,40.41,True,False
2026-02-10,3,002830,名雕股份,7.0,30.8,False,False
2026-02-10,4,002995,天地在线,7.0,30.6,False,True
2026-02-10,5,002506,协鑫集成,6.0,5.26,False,False
2026-02-11,1,002455,百川股份,8.0,14.83,True,False
2026-02-11,2,300461,田中精机,7.0,54.22,True,False
2026-02-11,3,603103,横店影视,7.0,36.37,False,True
2026-02-11,4,002506,协鑫集成,6.0,5.26,False,False
2026-02-11,5,002830,名雕股份,6.0,27.72,False,True
2026-02-12,1,002455,百川股份,8.0,14.1,False,False
2026-02-12,2,300461,田中精机,7.0,52.7,False,False
2026-02-12,3,603103,横店影视,7.0,32.73,False,True
2026-02-12,4,002830,名雕股份,6.0,24.95,False,True
2026-02-12,5,603618,杭电股份,6.0,16.12,False,False
2026-02-13,1,002455,百川股份,8.0,13.85,False,False
2026-02-13,2,300461,田中精机,7.0,54.7,False,False
2026-02-13,3,603103,横店影视,7.0,34.9,False,False
2026-02-13,4,603618,杭电股份,6.0,14.51,False,True
2026-02-13,5,002342,巨力索具,6.0,15.44,False,True
2026-02-24,1,002455,百川股份,6.0,14.52,False,False
2026-02-24,2,603103,横店影视,6.0,31.41,False,True
2026-02-24,3,603618,杭电股份,6.0,15.8,False,False
2026-02-24,4,301362,民爆光电,5.0,62.72,True,False
2026-02-24,5,600330,天通股份,5.0,18.28,True,False
2026-02-25,1,001896,豫能控股,5.0,11.03,True,False
2026-02-25,2,002498,汉缆股份,5.0,8.2,True,False
2026-02-25,3,603533,掌阅科技,5.0,30.47,False,True
2026-02-25,4,002455,百川股份,5.0,14.32,False,False
2026-02-25,5,603618,杭电股份,5.0,15.14,False,False
2026-02-26,1,001896,豫能控股,6.0,12.13,True,False
2026-02-26,2,002378,章源钨业,5.0,36.91,True,False
2026-02-26,3,002498,汉缆股份,5.0,8.38,False,False
2026-02-26,4,603533,掌阅科技,5.0,30.09,False,False
2026-02-26,5,002455,百川股份,5.0,14.1,False,False
2026-02-27,1,001896,豫能控股,7.0,13.34,True,False
2026-02-27,2,002378,章源钨业,6.0,40.6,True,False
2026-02-27,3,603618,杭电股份,6.0,18.15,True,False
2026-02-27,4,003018,金富科技,5.0,26.57,True,False
2026-02-27,5,600397,江钨装备,5.0,21.53,True,False
2026-03-02,1,001896,豫能控股,7.0,14.14,False,False
2026-03-02,2,000890,法尔胜,5.0,8.43,True,False
2026-03-02,3,002842,翔鹭钨业,5.0,45.72,True,False
2026-03-02,4,600722,金牛化工,5.0,10.32,True,False
2026-03-02,5,003018,金富科技,5.0,26.1,False,False
2026-03-03,1,001896,豫能控股,7.0,13.28,False,False
2026-03-03,2,600722,金牛化工,6.0,11.35,True,False
2026-03-03,3,300164,通源石油,5.0,21.7,True,False
2026-03-03,4,000890,法尔胜,5.0,8.06,False,False
2026-03-03,5,002842,翔鹭钨业,5.0,43.68,False,False
2026-03-04,1,001896,豫能控股,7.0,14.26,False,False
2026-03-04,2,000890,法尔胜,6.0,8.87,True,False
2026-03-04,3,002498,汉缆股份,5.0,8.13,True,False
2026-03-04,4,300164,通源石油,5.0,24.56,True,False
2026-03-04,5,600722,金牛化工,5.0,11.98,False,False
2026-03-05,1,001896,豫能控股,7.0,14.44,False,False
2026-03-05,2,002498,汉缆股份,6.0,8.94,True,False
2026-03-05,3,000890,法尔胜,6.0,9.15,False,False
2026-03-05,4,300164,通源石油,5.0,22.41,False,False
2026-03-05,5,600722,金牛化工,5.0,12.3,False,False
2026-03-06,1,001896,豫能控股,8.0,15.88,True,False
2026-03-06,2,002498,汉缆股份,7.0,9.83,True,False
2026-03-06,3,600397,江钨装备,6.0,19.99,True,False
2026-03-06,4,600722,金牛化工,6.0,13.53,True,False
2026-03-06,5,000890,法尔胜,6.0,9.05,False,False
2026-03-09,1,001896,豫能控股,7.0,15.95,False,False
2026-03-09,2,002498,汉缆股份,7.0,9.96,False,False
2026-03-09,3,000890,法尔胜,6.0,8.91,False,False
2026-03-09,4,000533,顺钠股份,5.0,16.37,True,False
2026-03-09,5,600821,金开新能,5.0,9.46,True,False
2026-03-10,1,600108,亚盛集团,6.0,5.97,True,False
2026-03-10,2,001896,豫能控股,6.0,15.81,False,False
2026-03-10,3,002498,汉缆股份,6.0,9.65,False,False
2026-03-10,4,000890,法尔胜,6.0,8.71,False,False
2026-03-10,5,605268,王力安防,5.0,16.86,True,False
2026-03-11,1,600108,亚盛集团,7.0,6.57,True,False
2026-03-11,2,600722,金牛化工,5.0,14.0,True,False
2026-03-11,3,605268,王力安防,5.0,16.07,False,False
2026-03-11,4,001896,豫能控股,5.0,16.59,False,False
2026-03-11,5,002498,汉缆股份,5.0,9.44,False,False
2026-03-12,1,600108,亚盛集团,7.0,6.96,False,False
2026-03-12,2,000890,法尔胜,6.0,10.08,True,False
2026-03-12,3,002498,汉缆股份,6.0,10.38,True,False
2026-03-12,4,600722,金牛化工,6.0,15.4,True,False
2026-03-12,5,600821,金开新能,5.0,10.87,True,False
2026-03-13,1,000890,法尔胜,7.0,11.09,True,False
2026-03-13,2,600722,金牛化工,7.0,16.94,True,False
2026-03-13,3,600108,亚盛集团,7.0,6.26,False,True
2026-03-13,4,002498,汉缆股份,6.0,9.4,False,True
2026-03-13,5,600821,金开新能,5.0,10.15,False,False
2026-03-16,1,000890,法尔胜,8.0,12.2,True,False
2026-03-16,2,600722,金牛化工,7.0,18.4,False,False
2026-03-16,3,600108,亚盛集团,7.0,6.16,False,False
2026-03-16,4,002498,汉缆股份,6.0,9.41,False,False
2026-03-16,5,000533,顺钠股份,5.0,18.66,True,False
2026-03-17,1,000890,法尔胜,9.0,13.42,True,False
2026-03-17,2,600227,赤天化,7.0,5.29,True,False
2026-03-17,3,600722,金牛化工,7.0,19.3,False,False
2026-03-17,4,600108,亚盛集团,7.0,5.76,False,False
2026-03-17,5,000533,顺钠股份,6.0,20.53,True,False
2026-03-18,1,000890,法尔胜,9.0,13.6,False,False
2026-03-18,2,600227,赤天化,7.0,5.0,False,False
2026-03-18,3,600722,金牛化工,7.0,17.37,False,True
2026-03-18,4,600108,亚盛集团,7.0,5.61,False,False
2026-03-18,5,000533,顺钠股份,6.0,19.75,False,False
2026-03-19,1,000890,法尔胜,9.0,14.0,False,False
2026-03-19,2,600722,金牛化工,7.0,17.93,False,False
2026-03-19,3,000533,顺钠股份,6.0,18.58,False,False
2026-03-19,4,600396,华电辽能,5.0,5.69,True,False
2026-03-19,5,600726,华电能源,5.0,5.02,True,False
2026-03-20,1,000890,法尔胜,9.0,13.13,False,False
2026-03-20,2,600722,金牛化工,7.0,16.14,False,True
2026-03-20,3,600396,华电辽能,6.0,6.26,True,False
2026-03-20,4,600726,华电能源,6.0,5.52,True,False
2026-03-20,5,603778,国晟科技,6.0,24.21,True,False
2026-03-23,1,600396,华电辽能,7.0,6.89,True,False
2026-03-23,2,000890,法尔胜,7.0,13.15,False,False
2026-03-23,3,600726,华电能源,6.0,5.32,False,False
2026-03-23,4,603778,国晟科技,6.0,24.65,False,False
2026-03-23,5,000533,顺钠股份,6.0,16.33,False,False
2026-03-24,1,600396,华电辽能,8.0,7.58,True,False
2026-03-24,2,000601,韶能股份,6.0,8.06,True,False
2026-03-24,3,600821,金开新能,6.0,11.07,True,False
2026-03-24,4,600726,华电能源,6.0,5.59,False,False
2026-03-24,5,603778,国晟科技,6.0,24.71,False,False
2026-03-25,1,600396,华电辽能,9.0,8.34,True,False
2026-03-25,2,000601,韶能股份,7.0,8.87,True,False
2026-03-25,3,600726,华电能源,7.0,6.15,True,False
2026-03-25,4,603778,国晟科技,6.0,24.54,False,False
2026-03-25,5,000890,法尔胜,6.0,13.61,False,False
2026-03-26,1,600396,华电辽能,9.0,8.88,False,False
